N;TaxableIncome
55.80544636;789.9242694
119.4105719;791.9537637
47.85480567;792.4047624
70.90159957;794.659756
57.56666424;795.1107548
45.79166473;796.9147497
84.13589389;798.2677458
68.73781761;798.2677458
208.0249912;798.2677458
53.6416644;802.7777331
66.82563821;802.7777331
218.8942215;803.6797306
63.10192041;804.1307293
56.76153607;809.7682134
122.379482;810.8957102
62.24647173;811.1212095
62.5483948;812.2487064
47.55288261;812.9252045
56.66089504;814.0527013
51.57852346;818.7881879
90.62723977;819.2391866
47.5025621;827.5826631
67.12756127;827.5826631
47.0496775;829.386658
45.79166473;830.2886554
63.10192041;832.3181497
63.15224092;835.7006401
45.23813912;837.0536363
87.65832963;838.1811331
69.03974068;838.8576312
66.27211259;843.5931179
62.59871531;845.1716134
74.17243277;845.6226121
51.83012602;847.8776058
45.08717758;851.2600962
54.74871564;854.4170873
62.49807429;854.6425867
89.97307313;855.5445841
64.10833063;857.5740784
63.25288195;858.7015752
67.98300995;859.3780733
88.16153474;860.0545714
105.2705084;860.7310695
85.24294512;862.0840656
72.61249694;863.6625612
56.9124976;864.1135599
94.80384215;864.3390593
69.99583038;865.6920555
299.0044746;867.7215497
67.22820229;869.0745459
84.58877848;869.0745459
52.88685674;871.1040402
64.4605742;872.9080351
77.64454801;872.9080351
58.77435649;873.8100325
202.7916581;874.0355319
59.37820262;874.71203
61.34070254;877.4180223
57.06345913;878.3200198
57.8685873;879.2220172
48.65993384;879.4475166
93.94839347;880.1240147
55.75512585;880.8005128
61.99486918;881.2515115
67.02692025;881.7025102
52.88685674;882.8300071
72.66281745;883.9575039
51.17595938;884.634002
55.60416432;888.2419918
52.2326901;888.2419918
69.54294578;890.7224848
68.63717659;892.3009803
70.75063804;893.4284771
64.35993318;897.2619663
99.68493169;899.2914606
59.07627956;899.2914606
93.49550888;899.5169599
72.36089438;901.5464542
57.16410015;901.5464542
68.18429199;901.7719536
65.31602288;901.7719536
49.8676261;903.3504491
52.48429266;904.2524466
67.37916382;904.4779459
52.58493368;905.154444
76.63813779;905.3799434
58.92531803;905.6054427
51.07531836;906.0564415
43.87948533;907.4094376
46.84839546;908.3114351
65.01409982;908.5369345
51.83012602;911.2429268
49.31410048;911.2429268
57.61698475;914.3999179
63.0515999;916.4294122
58.22083088;917.3314096
65.21538186;918.0079077
60.13301028;918.4589064
58.3214719;923.4198924
46.79807495;923.4198924
51.22627989;925.2238873
49.36442099;926.1258848
47.35160057;929.7338746
87.25576555;929.7338746
54.19519002;934.92036
58.92531803;936.2733561
53.99390798;936.4988555
58.97563854;937.6263523
64.86313829;938.7538491
61.24006152;938.7538491
69.69390732;939.4303472
46.34519035;940.557844
77.39294545;940.7833434
72.31057387;940.7833434
83.78365031;942.1363396
68.13397148;942.5873383
101.4461496;942.5873383
372.6737022;942.5873383
64.4605742;947.0973256
149.2506347;948.9013205
83.93461184;949.1268198
59.07627956;950.479816
59.17692058;951.3818135
132.6448662;951.6073128
55.5035233;952.7348097
80.36185558;952.7348097
53.33974134;953.1858084
75.17884298;953.1858084
82.47531703;953.8623065
64.25929216;954.0878058
127.8140972;954.9898033
52.13204908;955.2153027
194.3378123;955.2153027
83.43140674;955.8918007
50.72307478;956.3427995
97.92371382;956.7937982
65.3663434;957.2447969
85.5951887;957.2447969
57.51634373;959.9507893
53.08813879;961.3037855
66.62435616;961.3037855
69.69390732;961.3037855
78.65095822;961.5292848
45.74134422;962.6567816
52.6855747;964.2352772
54.79903615;964.4607765
124.3923024;965.1372746
45.94262627;965.362774
79.30512486;966.0392721
63.80640756;967.843267
58.37179241;970.32376
90.52659874;971.6767562
82.47531703;971.9022555
55.0506387;971.9022555
87.45704759;972.1277549
78.49999669;972.3532543
72.05897132;972.5787536
42.57115205;972.804253
62.19615122;973.0297524
47.70384414;974.1572492
59.42852313;976.4122428
83.07916316;977.765239
52.33333112;977.9907383
68.6874971;979.1182352
70.0964714;979.7947332
90.62723977;981.3732288
68.03333046;982.2752262
56.61057453;983.4027231
57.8685873;984.3047205
63.20256144;984.5302199
49.96826712;985.206718
218.1897344;985.8832161
61.59230509;986.5597141
55.20160023;986.5597141
41.06153673;986.5597141
53.59134389;987.2362122
50.67275427;987.4617116
66.87595872;987.9127103
58.06986934;987.9127103
52.83653623;988.3637091
76.94006086;988.3637091
58.87499752;989.0402071
92.23749611;989.9422046
62.5483948;990.167704
62.5483948;992.1971982
93.74711143;993.0991957
73.16602255;993.7756938
52.53461317;994.6776912
62.49807429;995.1286899
65.46698442;996.0306874
88.71506036;996.0306874
48.05608772;998.0601817
90.3253167;998.285681
45.23813912;998.9621791
70.549356;999.1876785
372.9756253;1001.217173
91.13044487;1002.11917
70.70031753;1005.501661
213.2583243;1005.72716
60.2336513;1005.952659
61.1394205;1006.178159
49.4147415;1006.178159
45.84198524;1007.531155
66.57403565;1008.207653
62.39743326;1008.433152
103.0564059;1008.658652
83.17980418;1009.10965
62.85031786;1009.10965
89.92275262;1009.33515
49.21345946;1009.560649
63.80640756;1009.786149
85.99775278;1010.011648
61.84390765;1010.011648
71.30416366;1012.266642
58.3214719;1013.168639
59.42852313;1013.845137
58.77435649;1014.972634
56.40929249;1016.32563
50.57211325;1016.551129
79.15416333;1017.904126
76.13493268;1018.355124
62.19615122;1018.580624
89.97307313;1019.031622
59.42852313;1019.257122
58.22083088;1019.708121
82.22371448;1019.93362
53.23910032;1020.835617
42.36987001;1020.835617
48.35801078;1022.639612
56.50993351;1022.865112
65.16506135;1023.31611
93.99871398;1024.443607
47.70384414;1024.669107
107.8368544;1025.345605
75.88333013;1025.345605
59.7304462;1025.796603
63.90704859;1028.051597
61.69294611;1028.502596
61.18974101;1030.53209
73.61890715;1030.983089
80.76441967;1031.208588
80.71409916;1031.434087
68.93909965;1033.012583
77.09102239;1033.238082
70.95192008;1034.14008
45.6407032;1035.267577
58.22083088;1035.718575
77.79550954;1037.071572
61.74326663;1038.875566
53.33974134;1039.552065
61.99486918;1039.777564
57.41570271;1040.003063
60.43493335;1040.228563
48.05608772;1040.679561
80.00961201;1041.356059
55.85576687;1042.483556
71.80736876;1042.709056
92.28781662;1042.934555
54.44679257;1043.385554
61.03877948;1043.385554
59.2775616;1044.73855
54.59775411;1046.091546
64.41025369;1046.091546
97.26954718;1046.542545
68.63717659;1046.993543
72.91442;1047.219043
95.05544471;1047.444542
139.0858916;1048.12104
84.43781695;1048.34654
44.38269043;1048.34654
72.10929183;1048.34654
76.43685575;1048.572039
73.82018919;1048.572039
86.40031687;1050.601533
58.27115139;1050.827033
47.35160057;1051.503531
152.6724295;1051.72903
79.9592915;1052.856527
58.52275394;1052.856527
49.4147415;1053.984024
49.56570304;1054.660522
